DATE,PBGNUSD,PCZKUSD,PEEKUSD,PHRKUSD,PHUFUSD,PLVLUSD,PNOKUSD,PPLNUSD,PRONUSD,PRUBUSD,PTRYUSD,PISKUSD,PUAHUSD,PBGNEUR,PCZKEUR,PEEKEUR,PHRKEUR,PHUFEUR,PISKEUR,PLVLEUR,PNOKEUR,PPLNEUR,PRONEUR,PRUBEUR,PTRYEUR,PUAHEUR,VIX
31/01/2000,0.99352939,,,,0.994115415,,0.993706909,1.019321121,,,,,,1.000417573,,,,1.00100766,,,1.000596322,1.026388119,,,,,23.37
28/02/2000,0.989429681,,,,0.989348616,,0.990074821,1.016941357,,,,,,1.00028843,,,,1.000206476,,,1.00094065,1.02810204,,,,,23.67
31/03/2000,0.95112311,,,,0.957866795,,0.94807421,0.932319321,,,,,,0.998953365,,,,1.006036177,,,0.99575114,0.979203967,,,,,26.2
30/04/2000,1.023910378,,,,1.027868836,,1.006848805,1.026013364,,,,,,0.997650937,,,,1.001507875,,,0.981026928,0.999699989,,,,,23.65
31/05/2000,1.016099783,,,,1.015494816,,1.029971929,1.017592235,,,,,,1.002406741,,,,1.001809927,,,1.016091945,1.00387908,,,,,19.54
30/06/2000,0.966366876,,,,0.974577486,,0.971119443,1.011716371,,,,,,0.995602904,,,,1.004061914,,,1.000499253,1.042324382,,,,,20.74
31/07/2000,0.955259142,0.958088928,,,0.959303562,,0.97574676,1.000706651,,,,,,0.99704235,0.999995912,,,1.001263675,,,1.018426101,1.044477742,,,,,16.84
31/08/2000,0.990591572,0.99057709,,,0.986828858,,1.002036829,0.974597959,0.972564679,1.000138246,,,,0.99753991,0.997525327,,,0.993750804,,,1.009065449,0.981434114,0.979386571,1.007153549,,,20.57
30/09/2000,0.957711616,0.977308242,,0.956657686,0.966456535,,0.975345021,0.983252263,0.998700249,0.995946805,,,1.022885804,0.99825531,1.018681538,,0.997156763,1.007370436,,,1.016635206,1.024877193,1.040979152,1.038109144,,1.066188578,23.63
31/10/2000,1.022899409,1.033893776,,1.022804156,1.025674189,,1.00334308,1.045608286,1.005237565,0.998106635,,0.998592775,1.010829603,0.997010592,1.0077267,,0.99691775,0.999715144,0.97331914,,0.977949219,1.019144724,0.979795756,0.972845305,,0.985246264,29.65
30/11/2000,1.070860634,1.053628631,1.075966513,1.076151921,1.085020454,1.015214549,1.056534159,1.09646031,1.001495766,0.979748181,,1.034397925,1.008739362,0.992653179,0.97667967,0.997386165,0.997558032,1.005778875,0.958853427,0.941071058,0.979373001,1.016383251,0.92835419,0.908194882,,0.93506877,26.85
31/12/2000,0.986588949,1.012549589,0.98958813,0.974452981,0.996497116,0.996925942,0.999450609,1.021347997,0.996671511,1.008827884,,0.991679432,1.008187063,0.994229022,1.0203907,0.997251429,0.981999074,1.004213918,0.999358926,1.004646064,1.007190282,1.029257242,1.004389663,1.016640174,,1.015994391,22.02
