DATE,BGN,BGN1M,BGN3M,CHF,CHF1M,CHF3M,CZK,CZK1M,CZK3M,DBGN,DCZK,DHRK,DHUF,DPLN,DRON,DRUB,DUAH,EEK,EEK1M,EEK3M,EUR,EUR1M,EUR3M,EURUSD,HRK,HRK1M,HRK3M,HUF,HUF1M,HUF3M,ISK,ISK1M,ISK3M,JPY,JPY1M,JPY3M,LVL,LVL1M,LVL3M,NOK,NOK1M,NOK3M,PLN,PLN1M,PLN3M,RON,RON1M,RON3M,RUB,RUB1M,RUB3M,TRY,TRY1M,TRY3M,UAH,UAH1M,UAH3M,USD1M,USD3M,USD,VIX
31/01/2000,2.0127,2.0127,3.25,1.6562,2,2.06,36.702,NA,5.25,-0.013068043,NA,NA,-1.565652781,0.080375863,NA,NA,NA,NA,NA,NA,1.031672341,3.27,3.45,0.9693,7.9476,NA,NA,263.27,11.9,NA,73.91,NA,NA,107.36,NA,NA,0.5973,NA,NA,8.329,5.5,5.62,4.206,16.7,16.4,1.846,NA,NA,28.61,NA,NA,0.5593,NA,NA,5.52,NA,NA,5.84,5.99,1,23.37
28/02/2000,2.0196,2.0196,3,1.6641,2.06,2.4,36.864,NA,5.11,-0.021509543,NA,NA,-2.87661917,0.06991698,NA,NA,NA,NA,NA,NA,1.03669915,3.4,3.58,0.9646,7.9948,NA,NA,266.06,11.4,NA,73.48,NA,NA,110.19,NA,NA,0.598,NA,NA,8.3795,5.53,5.67,4.16,17.7,18,1.8885,NA,NA,28.68,NA,NA,0.5739,NA,NA,5.61,NA,NA,5.86,6.05,1,23.67
31/03/2000,2.0349,2.0349,3.6,1.6645,2.55,2.8,37.802,NA,5.23,-0.104229967,NA,NA,-11.92411836,-0.30219423,NA,NA,NA,NA,NA,NA,1.046025105,3.66,3.8,0.956,8.0692,NA,NA,270.07,11,NA,73.5,NA,NA,102.75,NA,NA,0.5907,NA,NA,8.4613,5.58,5.95,4.127,17.7,18.1,1.948,NA,NA,28.65,NA,NA,0.5888,NA,NA,5.52,NA,NA,6.11,6.26,1,26.2
30/04/2000,2.1325,2.1325,3.7,1.7168,2.94,3.12,39.967,NA,5.17,0.049637946,NA,NA,7.700716635,0.114198668,NA,NA,NA,NA,NA,NA,1.096491228,3.88,4.05,0.912,8.4598,NA,NA,283.01,10.8,NA,75.59,NA,NA,108.16,NA,NA,0.6013,NA,NA,8.921,6.1,6.3,4.465,17.9,18.1,2.0085,NA,NA,28.42,NA,NA,0.6109,NA,NA,5.5,NA,NA,6.16,6.38,1,23.65
31/05/2000,2.076,2.076,3.7,1.6805,2.7,3.1,38.619,NA,5.09,0.032775937,NA,NA,4.229929837,0.076526221,NA,NA,NA,NA,NA,NA,1.06643916,4.18,4.38,0.9377,8.1851,NA,NA,276.32,10.8,NA,75.23,NA,NA,107.61,NA,NA,0.6024,NA,NA,8.8599,5.97,6.25,4.39,17.7,17.9,2.0697,NA,NA,28.2425,NA,NA,0.6153,NA,NA,5.53,NA,NA,6.56,6.75,1,19.54
30/06/2000,2.0358,2.0358,4.3,1.6339,3.16,3.32,37.348,NA,5.21,-0.070599291,NA,NA,-7.144488991,0.050796328,NA,NA,NA,NA,NA,NA,1.050089258,4.39,4.49,0.9523,7.9627,NA,NA,272.99,10.8,NA,76.38,NA,NA,105.98,NA,NA,0.5973,NA,NA,8.5981,6.27,6.67,4.35,17.7,18,2.136,NA,NA,28.05,NA,NA,0.62,NA,NA,5.5,NA,NA,6.53,6.73,1,20.74
31/07/2000,2.0991,2.0991,4.1,1.6703,3.03,3.29,38.199,5.13,5.24,-0.097969058,-1.669192284,NA,-11.961497,0.003087356,NA,NA,NA,NA,NA,NA,1.080030241,4.36,4.45,0.9259,8.1904,NA,NA,281.03,10.8,NA,78.35,NA,NA,109.39,NA,NA,0.6043,NA,NA,8.852,6.44,6.78,4.3355,17.8,18.2,2.189,NA,NA,27.85,NA,NA,0.6349,NA,NA,5.41,NA,NA,6.5,6.6,1,16.84
31/08/2000,2.1897,2.1897,4.5,1.7407,3.12,3.34,39.827,5.24,5.29,-0.020725827,-0.378480601,NA,-3.935537302,-0.114944234,-0.066297453,0.003839372,NA,NA,NA,NA,1.125365744,4.65,4.79,0.8886,8.4806,NA,NA,293.92,10.68,NA,80.99,NA,NA,106.63,NA,NA,0.6102,NA,NA,9.0716,6.76,7,4.369,19.15,19.3,2.3,38,NA,27.765,7,NA,0.6547,NA,NA,5.443,NA,NA,6.5,6.56,1,20.57
30/09/2000,2.2029,2.2029,4.4,1.7242,3.22,3.46,40.166,5.14,5.25,-0.096933433,-0.931564751,-0.385525548,-10.40451197,-0.07777649,-0.003228582,-0.112974705,0.124430119,NA,NA,NA,1.131605749,4.77,4.93,0.8837,8.5164,5.5,8.5,298.8,10.8,NA,82.62,NA,NA,108.05,NA,NA,0.6147,NA,NA,9.055,7.02,7.2,4.525,18.8,19.1,2.4165,46,NA,27.772,6,NA,0.6641,NA,NA,5.47,30,NA,6.55,6.71,1,23.63
31/10/2000,2.2922,2.2922,4.7,1.797,3.07,3.33,41.053,5.19,5.28,0.051141251,1.344396619,0.198234246,7.794940436,0.204484751,0.013286655,-0.052872217,0.058870807,18.438,NA,NA,1.177856302,4.86,5.04,0.849,8.8949,6,6.5,310.18,11.7,11.75,86.65,10.86,11.12,108.96,NA,NA,0.627,NA,NA,9.2873,7.1,7.31,4.644,19.3,19.5,2.484,46,NA,27.873,6.5,NA,0.682,NA,NA,5.437,21,NA,6.54,6.65,1,29.65
